3Q2023-EXCEL,,,,,
DMF#,STATUS,TYPE,SUBMIT DATE,HOLDER,SUBJECT
346,I,II,9/4/1959,MINERALS AND CHEMICALS PHILIPP CORP,PHARMASORB - REGULAR & COLLOIDAL                                      
347,I,II,10/14/1959,MONSANTO CO,"SANTOPHEN  1, o-BENZYL-p-CHLOROPHENOL"
348,I,V,10/19/1959,WARNER LAMBERT CO LLC,PARENTERAL MANUFACTURE
349,I,II,10/16/1959,ARMOUR PHARMACEUTICAL CO,MANUFACTURING CONTROL PROCEDURES
350,I,II,11/2/1959,SB PENICK AND CO,INOSITOL HEXANICOTINATE                                               
351,I,II,11/2/1959,PRINCETON LAB PRODS CO,"TRYPSIN, CHYMOTRYPSIN & RIBONUCLEASE - MF'G PROCEDURES & ASSAYS"
352,I,II,11/16/1959,ELI LILLY AND CO,VORTEL TABLETS                                                        
353,I,II,11/16/1959,PHARMACIA LABORATORIES INC,LOW MOLECULAR DEXTRAN
354,I,II,12/2/1959,WALLERSTEIN,ENZYMES                                                               
356,I,II,12/17/1959,AMERICAN CYANAMID CO,NEOMYCIN BASE - MF'G PROCEDURES & SPECS
357,I,II,1/6/1960,HELENA RUBINSTEIN INC,WHITE MAGNOLIA PERFUME OIL FORMULATION                            
358,I,II,1/13/1960,SYNTEX LABORATORIES INC SUB SYNTEX CORP,6A - CHLORO - PREDNISONE ACETATE (MFG PROCEDURE & SPECS)
359,I,II,1/21/1960,EASTMAN CHEMICAL CO,MYVACET
360,I,II,1/21/1960,ROBAPHARM LTD,ROBUDEN - MF'G PROCEDURES & SPECS                                     
362,I,II,1/27/1960,EATON LABS DIV NORWICH PHARMACAL CO,NIDRAFUR MIX
363,I,I,2/5/1960,KNOLL PHARMACEUTICAL CO UNIT BASF K&F CORP,"MF'G PROCEDURES, & CONTROLS"
364,I,II,2/8/1960,WALLERSTEIN,AMYLOLYTIC AND PROTEOLYTIC ENZYMES                                    
365,I,IV,3/3/1960,RHONE POULENC PHARMACEUTICALS DIV RHONE POULENC INC,EMULPHOR EL - 620 & EL - 719
366,I,II,2/16/1960,KV PHARMACEUTICAL CO,PYRILAMINE - PHENYLEPHRINE SUSTAINED ACTION CAPSULES
367,I,II,2/17/1960,WAITAKI INTERNATIONAL BIOSCIENCES SUB WAITAKI CANADA LTD,TRYPSIN & a - CHYMOTRYPSIN - PREPARTION & ASSAY METHODS
368,A,IV,2/24/1960,GIVAUDAN FLAVORS CORP,FLAVOR FORMULATIONS
371,I,III,3/14/1960,REED LANE INC,"CONTRACT PACKAGING FACILITIES LOCATED IN WAYNE, NJ"
373,I,II,3/23/1960,WORTHINGTON BIOCHEM CORP,"DESOXYRIBONUCLEASE, PANCREATIC"
374,I,II,3/31/1960,SB PENICK AND CO,"PHENAZOCINE HYDROBROMIDE - MF'G PROCED., SPECS, CLIN. & TOXICITY DATA "
375,I,II,4/5/1960,JOHN MANVILLE PRODUCTS CORP,MICRO-CEL & CELKATE
376,I,II,4/28/1960,ROUSSEL CORP,DESERPIDINE SYNTHETIC
377,I,II,4/29/1960,ROYAL NETHERLANDS FERMENTATIONS LTD,PIMARICIN
378,I,II,5/16/1960,ELI LILLY AND CO,IMIDAZOLIUM BROMIDE DERIVATIVE
379,I,V,5/25/1960,HESS AND CLARK CO DIV RICHARDSON-MERRELL INC,NIHYDRAZONE - FIELD RESEARCH DATA
380,I,II,6/6/1960,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,"FORMULAE FOR VARIOUS STANDARD COATING SOLUTIONS ,LAKEDYE"
382,I,II,6/16/1960,ELI LILLY AND CO,TYLOSIN
383,I,II,6/27/1960,REYNAUD LTD,PERBRO CLOUD                                                          
384,I,II,7/5/1960,SANOFI AVENTIS CHIMIE,"1-(A-HYDROXYETHYL)-2-METHYL-5-NITRO-IMIDAZOLE,A NEW TRICHOMONOCIDE"
385,I,II,7/7/1960,WYETH-AYERST LABORATORIES,DIETHYLSTILBESTROL IMPLANTATION PELLETS
386,I,II,6/27/1960,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,GALLIMYCIN -10+ ZOALENE
387,I,II,7/11/1960,NORWICH PHARMACAL CO,FURALTADONE MASTITIS PREPARATION - SQUEEJET DISPENSER
389,I,II,7/15/1960,RP SCHERER CORP,FERROUS CITRATE                                                       
390,I,II,1/17/1960,DRAGOCO INC,AZULENE                                                               
391,I,II,7/18/1960,DOLE CO,BROMELAIN - COMMERICAL GRADE MF'G PROCEDURES                          
392,I,II,7/25/1960,SYNTEX LABORATORIES INC SUB SYNTEX CORP,MFG OF BULK--19-NOR-17a-ETHINYL-TESTOSTERONE-17B-MONOENANTHATE
393,I,I,8/1/1960,MCMILLEN FEED MILLS,"METHODS IN FACILS & CONTROLS FOR THE MFG, PROCESSING, PACK. OF DRUGS"
394,I,I,8/2/1960,GENERAL MILLS INC,METHODS FACILS & CONTROLS - FOR MFG PROCESSING & PACK. OF DRUGS.
395,A,II,8/10/1960,DSM NUTRITIONAL PRODUCTS INC,5% D-METHORPHAN HYDROBROMIDE ADSORBATE POWDER
396,I,II,1/1/1940,BIO-RAMO DRUG CO INC,IRON POLYSACCHARIDE RAW MATERIAL USED IN MFG OF DI-FERRON INJECTION
397,I,II,9/6/1960,SHARP CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN CONSHOHOCKEN, PENNSYLVANIA."
398,I,II,9/19/1960,UPJOHN CO,"MANUFACTURING ,PACKAGING AND CONTROLS PROCEDURES-THIS IS A VET MED DMF"
399,I,IV,10/3/1960,EMERY PERSONAL CARE PRODUCTS GROUP,NIMLESTROL; LANFRAX; LANTROL; LANFRAX WS55 (LANOLIN PRODUCTS)
401,I,II,10/10/1960,CHAS PFIZER AND CO INC,OLEANSOMYCIN AND COCCIDIOSTATS IN POULTRY FEED
402,I,II,1/1/1940,ICI AMERICAS INC,SORBITAN MONOOLEATE (SPAN 80)  (VET MED) REFERRED TO PESTICIDE BRANCH
403,I,II,10/20/1960,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,BIPHENAMINE HYDROCHLORIDE                                             
404,I,II,10/27/1960,RHONE POULENC PHARMACEUTICALS DIV RHONE POULENC INC,IGEPAL CO 887 (SAME AS IGEPAL 880) CONTRLS & TOXICITY
405,I,II,10/27/1960,RHONE POULENC PHARMACEUTICALS DIV RHONE POULENC INC,BIOPAL VRO-20
406,I,II,11/7/1960,SB PENICK AND CO,NEODECYLLIN (NEOMYCIN UNDECYLENATE)
407,I,II,11/7/1960,WORTHINGTON BIOCHEM CORP,CHYMOTRYPSIN (MANUF PROCEDURE)
408,I,II,11/4/1960,WALLERSTEIN,CELLASE 1000                                                          
409,I,II,11/10/1960,SYNTEX SA,"PARAMETHASONE ACETATE--MANUF PROCEDS,"
410,I,II,11/14/1960,ER SQUIBB AND SONS INC,PICCOLITE RESIN S 115 L                                               
411,I,II,11/25/1960,SYNTEX SA,DROMOSTANOLONE PROPIONATE
412,I,II,11/28/1960,WITHMORE FEEDS INC,ZOALENE (IMPROVED HIGH ENER-G-BROILER RATION Z MEDICATED W/ ZOALENE)
413,I,II,11/28/1960,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,DIMETHADIONE                                                          
414,I,II,12/5/1960,SYNTEX SA,FLURANDRENOLONE
415,I,II,12/21/1960,SYNTEX SA,62 FLUORO-16 2 METHYL HCL 62 FLUORO - 16 2 METHYL PREDNISOLONE ACETATE
416,I,II,12/15/1960,SYNTEX SA,6- CHLORO - 6 - DEHYDRO- 17A - ACETOXY PROGESTERONE                   
417,I,II,12/28/1960,WATSON LABORATORIES INC,MESTRANOL  3-METHOXY-172-ETHINYL-ESTRADIOL- MANUF PROCEDURES
418,I,II,1/3/1961,DR REDDYS LABORATORIES LTD,FLUOCINOLONE ACETONIDE 
419,I,II,1/3/1961,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,BUTYLPHENAMIDE                                                        
420,A,IV,12/7/1960,IOI OLEO GMBH,"WITEPSOL, HARD FAT SUPPOSITORY BASE"
423,I,I,2/24/1961,HALES & HUNTER,STANDARD OPERATING PROCEDS FOR MANUF MEDICATED FEEDS
424,I,II,3/1/1961,SB PENICK AND CO,MEPHENOXALONE- METHODS OF MANUF.                                      
426,I,II,2/6/1961,UNION CARBIDE CORP,SILICONE X-251                                                        
427,I,II,4/4/1961,DUPHAR BV,DYDROGESTERONE  (FORMERLY ISOPREGNENONE)
428,I,II,4/11/1961,RP SCHERER CORP,"FERROUS CITRATE, MANUF SPECS & CLINICAL DATA                          "
430,I,II,4/18/1961,SB PENICK AND CO,GLYCOPYRROLATE
431,I,II,4/27/1961,STRONG COBB ARNER INC,VICKS SINUS ANTICONGESTION TIME COVE TABLETS TRI-SPAN             
433,I,II,5/12/1961,H LUNDBECK AND CO AS,CALCIUM - AMPHOMYCIN
434,I,II,6/22/1961,IMC CHEMICAL GROUP INC SUB INTERNATIONAL MINERALS CHEMICAL CORP,TROMETHAMINE                                                          
435,I,II,6/22/1961,RHODIA INC,ETHIONAMIDE                                                           
438,I,II,6/30/1961,DOW CHEMICAL CO,FACILITIES & CONTROLS (METHOXY FLURANE)
440,I,IV,7/12/1961,NATIONAL STARCH AND CHEMICAL CO,INSTANT CLEARJEL
441,I,II,7/21/1961,PRODOTTI CHIMICI DOTTORI RE,MEPROBAMATE                                                           
442,I,II,2/10/1961,CHEMAGRO CORP,NEGUVON
444,I,II,8/9/1961,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,SULFACHLOROPYRIDAZINE                                                 
446,I,II,8/28/1961,CHAS PFIZER AND CO INC,L'-LYSINE MONOHYDROCHLORIDE
449,A,IV,9/18/1961,INTERNATIONAL FLAVORS AND FRAGRANCES INC,AVICEL MICROCRYSTALLINE CELLULOSE
453,A,II,7/13/1965,FIS FABBRICA ITALIANA SINTETICI SPA,NITROFURANTOIN & NITROFURANTOIN MACROCRYSTALS
454,I,II,12/7/1961,PRODOTTI CHIMICI DOTTORI RE,NITROFURANTOIN                                                        
456,I,II,12/11/1961,INDUSTRIA CHEMICA PRODOTTI FRANCIS SPA,CHLOROTHIAZIDE (BULK) - HYDROCHLOROTHIAZIDE
457,I,I,12/12/1961,"ALLIED MILLS, INC.",FEED MANUF PLANTS AND CONTROL LABORATORIES WAYNE FEEDS
458,I,II,12/28/1961,RT VANDERBILT CO INC,VANCIDE ZP AND VANCIDE ZP DISPERSION                                  
459,I,II,1/4/1962,RT VANDERBILT CO INC,VANCIDE BL                                                            
460,I,II,1/4/1962,RT VANDERBILT CO INC,VANCIDE BN                                                            
461,I,II,1/8/1962,RT VANDERBILT CO INC,METHYL TUADS                                                          
462,I,II,1/8/1962,PHARMACIA LABORATORIES INC,RHEOMACRODEX                                                          
463,I,II,2/6/1962,SB PENICK AND CO,BENZOMETHAMINE CHLORIDE                                               
464,I,IV,2/7/1962,ELANCO PRODS DIV ELI LILLY AND CO,HYGROMIX - CHICKENS
465,I,II,2/6/1962,RHODIA INC,PIPERACETAZINE                                                        
466,I,II,2/15/1962,ALFA WASSERMANN SPA,TOLBUTAMIDE BULK
467,A,II,2/15/1962,FIS FABBRICA ITALIANA SINTETICI SPA,CHLORDIAZEPOXIDE HCL
468,I,II,2/13/1962,INDUSTRIA CHIMICA MILANESE SPA,PROCHLORPERAZINE MALEATE
469,I,II,2/26/1962,INDUSTRIA CHIMICA MILANESE SPA,CHLORPROMAZINE HYDROCHLORIDE
470,I,II,2/26/1962,SYNTEX SA,2a-METHYL-DIHYDROTESTOSTERONE (CRYSTALLINE)                           
471,I,II,2/26/1962,EI DUPONT DE NEMOURS AND CO INC,BAYMAL COLLOIDAL ALUMINA                                              
472,I,II,3/12/1962,DOW CHEMICAL CO,BROMINATED SALICYLANILIDE                                             
473,I,II,3/21/1962,STRONG COBB ARNER INC,MATRIX GEL SUSTAINED RELEASE SYSTEM                                   
474,I,II,3/21/1962,EI DUPONT DE NEMOURS AND CO INC,TEREPHTHALIC ACID IN COMBINATION W/ TETRACYCLINES MED. TURKEY FEEDS
475,I,II,3/23/1962,METAL AND THERMIT CORP,STANNOUS FLUORIDE                                                     
477,I,II,3/27/1962,CHAS PFIZER AND CO INC,TEREPHTHALIC ACID IN POULTRY FEEDS CONTAINING OXYTETRACYCLINE
478,I,II,2/13/1962,ARAPAHOE CHEMICALS INC DIV SYNTEX LABORATORIES INC,HYDROXYPHENAMATE                                                      
479,I,II,4/12/1962,RT VANDERBILT CO INC,VANCIDE 2b                                                            
480,I,II,4/18/1962,BAXTER LABS INC DIV TRAVENOL LABS INC,TYROTHRICIN CHEMPLEXES
482,I,II,4/26/1962,ALFA WASSERMANN SPA,MEPROBAMATE                                                           
484,I,II,5/18/1962,PACO PACKAGING INC,PHARMACEUTICAL PACKAGING OPERATION                                    
487,I,II,6/11/1962,CONTINENTAL CAN COMPANY,CONALOY (EXTERNAL)                                                    
488,I,II,6/12/1962,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,ARSANILIC ACID (SODIUM ARSANILATE)
489,I,II,6/8/1962,SEARLE CHEMICALS INC SUB GD SEARLE AND CO,"ANAVAR, PESA                                                          "
490,I,II,6/22/1962,ELANCO DIV ELI LILLY AND CO,CHYMOTRYPSIN TRYPSIN CRYSTALLIZED
491,I,II,6/27/1962,SALSBURY LABS,3-NITRO-4-HYDROXYPHENYLARSONIC ACID
493,I,II,7/6/1962,ROHM AND HAAS CO,ASPERKINASE PRODUCTION                                                
494,I,II,7/20/1962,METAL AND THERMIT CORP,STANNOUS OCTOATE
495,A,IV,7/25/1962,MARKEM IMAJE CORP,INKS USED ON CAPSULES & TABLETS
496,I,II,8/15/1962,ICI AMERICAS INC,STANDARD DRUG MIXTURE #35--SDM#35
498,I,II,8/24/1962,YARDLEY ELECTRIC CORP,AGOSAN                                                                
501,A,III,10/8/1962,BD MEDICAL - PHARMACEUTICAL SYSTEMS,BD GLASS PREFILLABLE SYRINGE (PFS)
502,I,II,10/10/1962,PRIVATE BRANDS CO,PACKAGING AND CONTROL SPECIFICATIONS                                  
503,I,II,10/12/1962,DEPT DEFENSE,2 PAM CHLORIDE                                                        
504,I,II,10/17/1962,SCHERING AG,17 ALPHA-ETHINYL-19-NOR-TESTOSTERONE                                  
505,I,II,11/14/1962,PENTAPHARM AG,REPTILASE                                                             
506,I,II,11/28/1962,RHODIA INC,DIMETRIDAZOLE [EMTRYL]                                                
508,I,II,11/30/1962,ALLERGAN SPA,5-IODODEOXYURIDINE (5IUDR)                                            
509,I,IV,12/13/1962,DOG LIFE CORP,TABLETTING MIXURE AND FLAVORING TECHNIQUES
510,A,IV,1/3/1963,SPECIALTY PRODUCTS US LLC,SENTRY POLYOX WATER SOLUBLE RESINS - NF GRADE
511,I,II,12/28/1962,ROHM AND HAAS CO,RHOZYME J-25 CONCENTRATE                                              
513,I,II,1/17/1963,GIST-BROCADES NV PHARMACEUTICALS,FLURANDRENOLONE ACETATE                                               
514,I,II,1/22/1963,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,"ULTRAVIOLET ABSORBERS (U.V.Q, U.V. 24, & U.V.24 PHARMACEUTICAL GRADE) "
515,I,II,12/19/1962,SCHERING AG,17A-ETHINYL-19-NOR-TESTOSTERONE ACETATE                               
517,I,II,2/8/1963,PILLSBURY CO,PROCESS EQUIPMENT AND PROCEDURES
518,I,II,2/15/1963,LEEDS-DIXON LABORATORIES INC,OPERATING PROCEDURES                                                  
519,I,II,2/18/1963,ORGANON INC,DEXAMETHASONE
520,I,I,2/28/1963,COOPERATIVE MILLS,"METHODS USED IN MANUFACTURING, PROCESSING AND PACKING DRUGS"
522,I,I,3/29/1963,PFIZER AND CO,CURRICULA VITAE
523,I,II,3/19/1963,TANABE SEIYAKU CO LTD,DL-CARNITINE HYDROCHLORIDE
524,I,II,8/19/1970,WEST CO,PLEASE REFER TO DMF 1545 AMD/OR DMF 1546 WHICH REPLACE DMF 524
527,I,II,3/20/1963,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,"ORGANIC CHEMICAL RSCH SECTION, PERSONNEL QUALIFICATIONS               "
528,I,IV,3/25/1963,ALABAMA FLOUR MILLS,RED HAT BROILER CONCENTRATE NON-MEDICATED FEEDS
529,I,II,3/27/1963,CALBIOCHEM CORP,5-IODO-2-DEOXYURIDINE
531,I,I,4/1/1963,SMITH KLINE AND FRENCH LABORATORIES,SK&F LABS PERSONNEL SUMMARY OF TRAINING AND EXPERIENCE                
532,I,II,4/5/1963,SMITH KLINE & FRENCH LABS DIV SMITHKLINE BECKMAN CORP,5-IODO-2-DEOXYURIDINE (IUDR)
533,I,I,3/27/1963,ALBERS MILLING CO,EQUIPMENT & CONTROL PROCDS FOR MANUF MEDICATED FEEDS FOR ALBERS FEED
534,I,V,3/14/1963,CHEMAGRO CORP,STUDY RESIDUE PROBLS RELATED TO U/OF EXPERIMENTAL ORGANOPHOSPHORUS COM
535,I,II,4/9/1963,PARKE DAVIS AND CO,"QUALIFICATIONS OF PARKE, DAVIS & CO. RESEARCH PERSONNEL"
536,I,II,4/12/1963,RHODIA INC,ETHOPROPAZINE                                                         
537,I,II,4/23/1963,MASON KELLER CORP,MASON-KELLER CORPORATION
539,I,II,4/25/1963,GANES CHEMICALS INC PENNSVILLE DIV,7 BETA-HYDROXYPROPYL THEOPHYLLINE
540,I,V,4/25/1963,WYETH INC,INVESTIGATIONAL NEW DRUG MASTER FILE
541,I,II,12/12/1962,SALSBURY LABS,EMTRYL TABLETS
542,I,II,5/1/1963,ORGANON INC,DEXAMETHASONE
543,I,II,5/1/1963,MALLINCKRODT INC,INVESTIGATIONAL DRUGS                                                 
544,I,IV,4/23/1963,WITHMORE FEEDS INC,36% POULTRY CONCENTRATE 291A /44% BROILER CONCENTRATE UNMEDICATED 190A
545,I,II,5/6/1963,OZARK MAHONING CO,SODIUM MONOFLUOROPHOSPHATE
548,I,I,5/14/1963,"NUTRENA MILS, DIV OF CARGILL, INC.","FACILITIES FOR CARGILL, INC (THIS IS A VET  DMF)"
549,I,V,5/10/1963,STERLING-WINTHROP RES INST DIV STERLING DRUG INC,INVESTIGATIONAL EXEMPTION FOR WIN 5063 (VETERINARY USE)
550,I,II,5/20/1963,BURROUGHS WELLCOME CO,DARVISIL
551,I,II,4/19/1963,MERCK SHARP AND DOHME RESEARCH LABORATORIES DIV MERCK AND CO INC,THIABENDAZOLE
553,I,II,5/17/1963,ARMOUR PHARMACEUTICAL CO,CHYMOTRYPSIN CRYSTALLIZED
554,I,IV,5/20/1963,ONYX CHEM CO DIV MILLMASTER ONYX CORP,ISOTHAN Q-75
555,I,II,5/16/1963,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,M-259 (NSC 51954)                                                     
557,I,II,5/20/1963,CHEMAGRO CORP,BAYER 2353 (YOMESAN)
558,I,II,5/20/1963,ICI AMERICAS INC,BRIJ 30 POLYOXYETHYLENE (4) LAURYL ETHER
559,I,II,11/14/1962,RHODIA INC,"FLAVORS: PHARMACEUTICAL FLAVOR RF451, IMITATION FLAVOR 520B           "
560,I,II,5/21/1963,DOW CHEMICAL CO,TROLENE FM MEDICATED PREMIX
561,I,V,4/24/1963,AYERST LABORATORIES INC DIV AMERICAN HOME PRODUCTS CORP,"STUDIES ON ORBENIN, CLOXACILLIN , BRI 1621 , AY 6203"
562,I,II,5/28/1963,WARNER LAMBERT CO PHARMACEUTICAL RESEARCH DIV,PERSONNEL FACILITIES AND OPERATING PROCEDURE
563,I,I,5/22/1963,BAXTER LABS INC DIV TRAVENOL LABS INC,RESEARCH AND DEVELOPMENT GROUP
564,I,II,5/16/1963,UPJOHN CO,"BULK CHEMICALS , METHOD OF PREPARATION                                "
565,I,V,5/23/1963,STERLING-WINTHROP RES INST DIV STERLING DRUG INC,"INVESTIGATIONAL EXEMPTION FOR WIN 18,320-3 (VETERINARY USE)"
567,I,V,5/23/1963,STERLING-WINTHROP RES INST DIV STERLING DRUG INC,"COMBINED W/INVEST. EXEMPTION FOR WIN 18,320-3"
569,I,II,5/20/1963,NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,STATEMENT OF PERSONNEL FACILS AND CONTROLS FOR PROCESSING A NEW DRUG  
570,I,II,5/28/1963,3M PHARMACEUTICALS,INVESTIGATIONAL NEW DRUG PROCEDURES
571,I,II,5/31/1963,SYNTEX SA,"INVESTIGATIONAL DRUG, 6APLHS-FLUORO-16-ALPHA-HYDROCORTISOME           "
572,I,II,5/29/1963,SB PENICK AND CO,BISMUTH SUBSALICYLATE PASTE                                           
573,I,II,6/3/1963,SB PENICK AND CO,DOXAPRAM HCL; AHR-619
575,I,II,6/5/1963,CUTTER BIOLOGICAL DIV MILES LABORATORIES INC,"MANUF RESCH AND PERSONNEL FILE RSCH FACILS, EQUIPMENT & CONTROLS 11-16"
576,I,II,6/11/1963,RHODIA INC,SPIRAMYCIN
577,I,II,6/12/1963,RHODIA INC,METHOTRIMEPRAZINE                                                     
578,I,II,6/12/1963,RHODIA INC,ISOMETAMIDIAM                                                         
579,I,II,6/11/1963,RHODIA INC,HEVOPHACETOPERANE (LIDEPRAN)(RP8228) HCL                              
580,I,II,6/7/1963,BURROUGHS WELLCOME CO,PERTINANT DATA ON THE RESEARCH ACTIVITIES                             
581,I,I,6/5/1963,FARM BUREAU SERVICES,DEALERS USING THIS MASTER FILE AND MILL LOCATION
582,I,II,6/11/1963,ORGANON INC,DEXAMETHASONE 21-PHOSPHATE
583,I,I,6/5/1963,CIBA GEIGY CORP PHARMACEUTICAL DIVISION,"PERSONNEL, FACILITIES & TESTING PROCEDS, AND LABELING INVEST DRUGS"
584,I,II,3/5/1963,AYERST LABORATORIES INC DIV AMERICAN HOME PRODUCTS CORP,METHYRIDINE
585,I,I,5/28/1963,SANDOZ CONSUMER PHARMACEUTICALS DIV,DORSEY LABORATORIES
586,I,II,6/7/1963,INOLEX CHEMICAL CO,MANUF PROCEDURE FOR HIGH POTENCY LIPASE                               
587,I,II,6/26/1963,DOW CHEMICAL CO,"INVESTIGATIONAL DRUG ""MASTER FILE"" FOR FUTURE REFS NOTICES T/B SUBMITT"
588,I,II,6/10/1963,NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,COOPERATIVE STUDY GROUPS OF CLINICAL STUDIES PANEL                    
590,I,II,6/21/1963,PARKE DAVIS AND CO,VIRAL AND BACTERIAL VACCINES
593,I,II,6/6/1963,SANDOZ PHARMACEUTICALS CORP DIV SANDOZ INC,INVESTIGATIONAL DRUGS
594,I,II,7/5/1963,ROUSSEL CORP,INOSITOL HEXANICOTINATE                                               
595,I,II,5/31/1963,AMERICAN CYANAMID CO,"CL 45,167 OR STYRYLPYRIDINIUM (INVESTIGATIONNAL DRUG)"
596,I,II,5/31/1963,AMERICAN CYANAMID CO,"STYRYLQUINOLINIUM (CL40,001) INVESTIGATIONAL USE"
597,I,II,6/13/1963,AMERICAN CYANAMID CO,SULFAETHOXYPYRIDAZINE W/& WITHOUT CHLORTETRACYCTINE IN SWINE FEED EXP
598,I,II,7/11/1963,NOVO INDUSTRI AS,CRYSTALLINE TRYPSIN - NOVO DELETED 10 - 11 - 63
599,I,IV,6/18/1963,ALBERS MILLING CO.,ALBERS LAB - MIX POULTRY
600,I,II,6/18/1963,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,TRIAMTERENE
601,I,II,6/27/1963,SYNTEX LABORATORIES INC SUB SYNTEX CORP,(VET) 6-ALPHA-9-A-DIFLUORO-16-A-METHYL PREDNISOLONE DESIGNATED RS 2177
602,I,II,6/24/1963,AH ROBINS CO,"FACILITIES, METHODS AND PERSONNEL INVESTIGATIONAL DRUG"
603,I,II,6/3/1963,MERCK SHARP AND DOHME RESEARCH LABORATORIES DIV MERCK AND CO INC,HADACIDIN SOD. DIHYDRATE (NSC 521778) & HADACIDIN POTASS. NSC 72962   
605,I,II,6/25/1963,WARNER LAMBERT CO PHARMACEUTICAL RESEARCH DIV,"W 3361, A LIQUID ANTACID FORMULATION ---CHITOSAN ANTACID"
606,I,II,2/14/1963,"CORVEL, INC.",TYLOSIN; DIHYDROSTREPTOMYCIN; VIT. A & D ARE ACT. INGREDS. (VET MED)
610,I,II,6/11/1963,WYETH INC,GENERAL INFO DISCONTINUED INVESTIGATIONAL DRUGS                       
611,I,V,6/11/1963,WARNER LAMBERT CO PHARMACEUTICAL RESEARCH DIV,GENERAL INFO DISCONTINUED INVESTIGATIONAL DRUGS
614,I,II,3/14/1963,PROCTER AND GAMBLE CO,COMPANY'S PROCEDURES FOR TESTING NDA PRIOR TO SUBMITTING FOR APPROVAL 
621,I,IV,7/17/1963,WALLERSTEIN,DIHYDROXYACETONE (THIS DMF SENT TO COLOR ADD. ON 9.6.63)
624,I,II,4/25/1963,SMITH KLINE & FRENCH LABS DIV SMITHKLINE BECKMAN CORP,CYTOMEL IMPLANT PELLETS  (VET)
626,I,II,7/24/1963,DOMINION PRODUCTS INC,PHARMACEUTICAL FLAVORS #124-B-12 & 121-B-12                           
627,I,II,7/22/1963,PABST LABORATORIES DIV PABST BREWING CO,5-IODO-2'-DEOXYURIDINE                                                
628,I,II,8/8/1963,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"SPECTINOMYCIN (M-141, ABBOTT)  (VET)"
629,I,II,8/8/1963,ABBOTT LABORATORIES,2-(2-FORMYLHYDRAZINO)-4-(5-NITRO-2-FURYL)-THIAZOLE  (AS-L7665)&A-2L203
630,I,II,8/12/1963,DOW CHEMICAL CO,PROPYLENE GLYCOL--TRADE NAME SIRLENE  (VET)                           
633,I,II,8/5/1963,ELANCO DIV ELI LILLY AND CO,"INVEST DRUG STREPTOMYCIN,TYLOSIN, ERYTHROMYCIN & PENICILLIN BOLUS(VET)"
634,I,II,3/8/1963,SOLVAY PHARMACEUTICALS,GENERAL INFO-DISCN. INVESTIGATIONAL DRUGS                             
636,I,III,8/16/1963,JT BAKER CHEMICAL CO,DIETHYLPROPION
637,I,II,8/15/1963,FORT DODGE LABORATORIES,P-234 (INJECT. ANTHELMINTIC IN SWINE) CALLED TRICHLORPHON & NEGUVON
640,I,II,8/8/1963,HAMPSHIRE CHEMICAL CORP,HAMPSHIRE NTA NA3 (TRISODIUM NITRILOTRIACETATE MONOHYDRATE)           
641,I,II,7/19/1963,MERCK SHARP AND DOHME RESEARCH LABORATORIES DIV MERCK AND CO INC,1-METHYL-1-(B-CHLOROETHYL) ETHYLENIMONIUM PICRYSULFONATE              
643,I,II,8/20/1963,RT VANDERBILT CO INC,VANGARD MB (MONOBENZONE)                                              
644,I,II,1/1/1940,UPJOHN CO,"NSC-51173, (U-10955)--5A-ANDROSTAN-3-ONE,2A-FLUORO-17B-HYDROXY"
645,I,II,1/1/1940,CHEMAGRO CORP,"C0-RAL--0,0 DIETHYLO-3-CHLORO-4 METHYL-2-OXO-2H-1-BENZOPYRAN-7-YL"
646,I,II,8/27/1963,HOFFMANN LA ROCHE INC,LIBRIUM; TRANIMAL  (VET)
649,I,II,8/26/1963,"CORVEL, INC.",TYLOSIN 20MG PER CC AND NEOMYCIN 10MG PER CC (VET)
